연도,시도,시군구,계약종별,1월,2월,3월,4월
2023,서울특별시,강북구,교육용,3966138,3194080,2481474,1969663
2023,서울특별시,강북구,산업용,5135773,4814968,4227817,4083328
2023,서울특별시,강북구,농사용,7270,7197,5192,5271
2023,서울특별시,강북구,가로등,530727,479292,449145,417911
2023,서울특별시,강북구,심 야,717387,694066,495979,348257
2023,서울특별시,강북구,합 계,92095831,86169501,69787168,67603975
2023,서울특별시,금천구,주택용,31300112,30039971,25658480,26211844
2023,서울특별시,금천구,일반용,106292623,94490315,82106052,76204980
2023,서울특별시,금천구,교육용,2457165,2006403,1511983,1239290
2023,서울특별시,금천구,산업용,20916342,19284331,16487435,15634736
2023,서울특별시,금천구,농사용,5197,5197,3821,3320
2023,서울특별시,금천구,가로등,637040,602579,600709,582781
2023,서울특별시,금천구,심 야,238175,226171,177932,149690
2023,서울특별시,금천구,합 계,161846654,146654967,126546412,120026641
2023,부산광역시,중구,주택용,5804638,5663877,4737870,4792195
2023,부산광역시,중구,일반용,26682641,24706565,20761929,19875468
2023,부산광역시,중구,교육용,401890,333380,263430,258400
2023,부산광역시,중구,산업용,633440,588184,501818,487422
2023,부산광역시,중구,농사용,8924,8846,6958,6442
2023,부산광역시,중구,가로등,404997,368501,359839,338308
2023,부산광역시,중구,심 야,704340,656848,469763,315498
2023,부산광역시,중구,합 계,34640870,32326201,27101607,26073733
2023,부산광역시,서구,주택용,15201579,14943992,12599365,12927955
2023,부산광역시,서구,일반용,22040040,20473817,18352781,17713281
2023,부산광역시,서구,교육용,1792857,1494656,1251278,1178660
2023,부산광역시,서구,산업용,13875882,11171072,13419049,12826920
2023,부산광역시,서구,농사용,185383,194918,233164,254789
2023,부산광역시,서구,가로등,530135,493195,470657,434466
2023,부산광역시,서구,심 야,1597354,1522674,1080141,802247
2023,부산광역시,서구,합 계,55223230,50294324,47406435,46138318
2023,부산광역시,동구,주택용,12480046,12595274,10434919,10859019
2023,부산광역시,동구,일반용,28903359,26846880,22681875,21458743
2023,부산광역시,동구,교육용,763807,665357,538316,538867
2023,부산광역시,동구,산업용,7185478,6654758,6024601,6089752
2023,부산광역시,동구,농사용,3665,3930,2265,1773
2023,부산광역시,동구,가로등,445070,409963,392436,353239
2023,부산광역시,동구,심 야,1578192,1559448,1140946,846399
2023,부산광역시,동구,합 계,51359617,48735610,41215358,40147792
2023,부산광역시,영도구,주택용,14721168,14667502,12211251,12681952
2023,부산광역시,영도구,일반용,15870407,15044291,12347040,12253834
2023,부산광역시,영도구,교육용,3452242,3047295,2683270,2728487
2023,부산광역시,영도구,산업용,9835518,9525543,8450361,8431847
2023,부산광역시,영도구,농사용,5794,6064,6512,6505
2023,부산광역시,영도구,가로등,490091,455353,430247,386866
2023,부산광역시,영도구,심 야,1248486,1240261,905036,683741
2023,부산광역시,영도구,합 계,45623706,43986309,37033717,37173232
2023,부산광역시,부산진구,주택용,52377793,51586638,43974252,45684182
2023,부산광역시,부산진구,일반용,77233771,72727992,60596863,58976712
2023,부산광역시,부산진구,교육용,6124922,4847993,4495839,4227921
2023,부산광역시,부산진구,산업용,21406204,19136430,18962069,18270305
2023,부산광역시,부산진구,농사용,76375,71064,59640,56946
2023,부산광역시,부산진구,가로등,1312559,1222697,1191411,1098234
2023,부산광역시,부산진구,심 야,2774895,2648580,1844566,1390794
2023,부산광역시,부산진구,합 계,161306519,152241394,131124640,129705094
2023,부산광역시,동래구,주택용,37179368,37128856,31570173,32850610
2023,부산광역시,동래구,일반용,42585634,40661013,33363308,32863722
2023,부산광역시,동래구,교육용,1962246,1807228,1427455,1411849
2023,부산광역시,동래구,산업용,8481636,7956320,7867782,7900611
2023,부산광역시,동래구,농사용,26670,26214,20857,19982
2023,부산광역시,동래구,가로등,741830,705292,639630,597063
2023,부산광역시,동래구,심 야,2049008,2000439,1326857,896281
2023,부산광역시,동래구,합 계,93026392,90285362,76216062,76540118
2023,부산광역시,남구,주택용,36360582,35644339,30613484,31855751
2023,부산광역시,남구,일반용,39180046,37188614,31174393,30552341
2023,부산광역시,남구,교육용,7490224,6731063,5749677,5241880
